id,long,lat,ECO_CODE,WWF_MHTNUM,C:wdist3,C:wdist4,C:wdist5,C:wdist6,C:wdist7,C:wdist8,C:ones3,C:ones4,C:ones5,C:ones6,C:ones7,C:ones8,C:sizes3,C:sizes4,C:sizes5,C:sizes6,C:sizes7,C:sizes8
enabled_col,0,0,F,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
162709,109.5665,24.42302,IM0118,E:eb1,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
162710,110.0598,24.42302,IM0118,E:eb1,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
162711,110.5531,24.42302,IM0118,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
162712,111.0464,24.42302,IM0118,E:eb1,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
162713,111.5397,24.42302,IM0118,E:eb1,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
162714,112.033,24.42302,IM0118,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
162715,112.5263,24.42302,IM0118,E:eb1,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
162716,113.0196,24.42302,IM0118,E:eb1,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
162717,113.5129,24.42302,IM0118,E:eb1,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
162718,114.0062,24.42302,IM0118,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
162719,114.4995,24.42302,IM0118,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
162720,114.9928,24.42302,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
162721,115.4861,24.42302,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
162722,115.9794,24.42302,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
