id,long,lat,ECO_CODE,WWF_MHTNUM,C:wdist3,C:wdist4,C:wdist5,C:wdist6,C:wdist7,C:wdist8,C:ones3,C:ones4,C:ones5,C:ones6,C:ones7,C:ones8,C:sizes3,C:sizes4,C:sizes5,C:sizes6,C:sizes7,C:sizes8
enabled_col,0,0,F,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
164100,72.2839,23.5247,IM1303,E:ca13,S1,S1,S2,S3,S3,S3,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
164101,72.7737,23.5247,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
164102,73.2636,23.5247,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
164103,73.7535,23.5247,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
164104,74.2434,23.5247,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
164105,74.7332,23.5247,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
164106,75.2231,23.5247,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
164107,75.713,23.5247,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
164108,76.2028,23.5247,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
164109,76.6927,23.5247,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
164110,77.1826,23.5247,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
164111,77.6725,23.5247,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
164112,78.1623,23.5247,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
164113,78.6522,23.5247,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
164114,79.1421,23.5247,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
164115,79.6319,23.5247,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
164116,80.1218,23.5247,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
164117,80.6117,23.5247,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
