ID,MEAN_HYP,MEAN_LOP,MEAN_HOD,MEAN_AL,MEAN_OL,MEAN_SF,MEAN_OT,MEAN_CM,MEAN_OO,MEAN_ETH,MEAN_LOPT,NB_SPC
enabled_col,T,T,T,T,T,T,T,T,T,T,T,F
167870,1.385,0.615,1.154,0.231,0.385,0.077,0.077,0.077,0.077,0.077,0.231,13
167871,1.250,0.833,1.000,0.333,0.417,0.083,0.000,0.000,0.083,0.083,0.000,12
167872,1.273,0.727,1.000,0.273,0.364,0.091,0.000,0.000,0.091,0.091,0.000,11
167873,1.091,0.727,1.000,0.364,0.364,0.091,0.000,0.000,0.000,0.091,0.000,11
167874,1.091,0.727,1.000,0.364,0.364,0.091,0.000,0.000,0.000,0.091,0.000,11
167875,1.250,0.833,1.000,0.333,0.417,0.083,0.000,0.000,0.083,0.083,0.000,12
167876,1.250,0.833,1.000,0.333,0.417,0.083,0.000,0.000,0.083,0.083,0.000,12
167877,1.091,0.727,1.000,0.364,0.364,0.091,0.000,0.000,0.000,0.091,0.000,11
167878,1.000,0.400,1.000,0.200,0.200,0.000,0.000,0.000,0.000,0.200,0.000,5
167879,1.000,0.400,1.000,0.200,0.200,0.000,0.000,0.000,0.000,0.200,0.000,5
167880,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,4
167881,1.125,0.500,1.000,0.125,0.250,0.125,0.000,0.000,0.000,0.125,0.000,8
167882,1.125,0.500,1.000,0.125,0.250,0.125,0.000,0.000,0.000,0.125,0.000,8
167888,1.250,1.000,1.000,0.250,0.500,0.250,0.000,0.000,0.000,0.250,0.000,4
168555,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
168560,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
168561,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
168562,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168563,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168564,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168565,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168566,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168567,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168568,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168569,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168570,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168571,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168572,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168573,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168574,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168575,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168576,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
168577,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
168578,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
168579,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
168580,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
168581,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
168582,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
168583,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
168584,2.111,1.111,1.222,0.000,0.667,0.444,0.111,0.111,0.111,0.111,0.333,9
168585,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
168586,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
168587,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
168588,1.857,1.143,1.000,0.000,0.571,0.429,0.000,0.000,0.143,0.143,0.000,7
168600,1.167,0.333,1.000,0.167,0.167,0.167,0.000,0.000,0.000,0.167,0.000,6
168601,1.429,0.571,1.000,0.143,0.286,0.143,0.000,0.000,0.143,0.143,0.000,7
168602,1.500,0.667,1.000,0.000,0.333,0.167,0.000,0.000,0.167,0.167,0.000,6
168603,1.778,0.667,1.222,0.111,0.444,0.111,0.111,0.111,0.222,0.111,0.333,9
168604,1.750,1.000,1.000,0.125,0.500,0.250,0.000,0.000,0.250,0.000,0.000,8
168605,1.500,1.000,1.000,0.250,0.500,0.500,0.000,0.000,0.000,0.000,0.000,4
168606,1.400,0.800,1.000,0.200,0.400,0.400,0.000,0.000,0.000,0.200,0.000,5
168607,1.250,0.500,1.000,0.250,0.250,0.250,0.000,0.000,0.000,0.250,0.000,4
168608,1.429,0.571,1.000,0.143,0.286,0.143,0.000,0.000,0.143,0.143,0.000,7
168609,1.625,0.750,1.000,0.125,0.375,0.125,0.000,0.000,0.250,0.125,0.000,8
168610,1.556,0.667,1.000,0.111,0.333,0.111,0.000,0.000,0.222,0.111,0.000,9
168611,1.556,0.667,1.000,0.111,0.333,0.111,0.000,0.000,0.222,0.111,0.000,9
168612,1.556,0.667,1.000,0.111,0.333,0.111,0.000,0.000,0.222,0.111,0.000,9
168613,1.500,0.600,1.000,0.100,0.300,0.100,0.000,0.000,0.200,0.100,0.000,10
168614,1.500,0.600,1.000,0.100,0.300,0.100,0.000,0.000,0.200,0.100,0.000,10
168615,1.500,0.600,1.000,0.100,0.300,0.100,0.000,0.000,0.200,0.100,0.000,10
168616,1.500,0.600,1.000,0.100,0.300,0.100,0.000,0.000,0.200,0.100,0.000,10
168617,1.231,0.615,1.000,0.231,0.308,0.077,0.000,0.000,0.077,0.077,0.000,13
168618,1.214,0.714,1.000,0.286,0.357,0.071,0.000,0.000,0.071,0.071,0.000,14
168619,1.250,0.833,1.000,0.333,0.417,0.083,0.000,0.000,0.083,0.083,0.000,12
168620,1.250,0.833,1.000,0.333,0.417,0.083,0.000,0.000,0.083,0.083,0.000,12
168621,1.231,0.769,1.000,0.308,0.385,0.077,0.000,0.000,0.077,0.077,0.000,13
168622,1.250,0.667,1.000,0.250,0.333,0.083,0.000,0.000,0.083,0.083,0.000,12
168623,1.091,0.727,1.000,0.364,0.364,0.091,0.000,0.000,0.000,0.091,0.000,11
168624,1.273,0.727,1.000,0.273,0.364,0.091,0.000,0.000,0.091,0.091,0.000,11
168625,1.091,0.727,1.000,0.364,0.364,0.091,0.000,0.000,0.000,0.091,0.000,11
168626,1.091,0.727,1.000,0.364,0.364,0.091,0.000,0.000,0.000,0.091,0.000,11
168627,1.000,0.667,1.000,0.444,0.333,0.000,0.000,0.000,0.000,0.111,0.000,9
168628,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,4
168629,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,4
168636,1.250,1.000,1.000,0.250,0.500,0.250,0.000,0.000,0.000,0.250,0.000,4
168637,1.250,1.000,1.000,0.250,0.500,0.250,0.000,0.000,0.000,0.250,0.000,4
169311,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
169312,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
169313,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
169314,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
169315,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
169316,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
169317,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
169318,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
169319,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
169320,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
169321,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
169322,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
169323,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
169324,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
169325,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
169326,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
169327,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
169328,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
169329,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
169330,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
169331,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
169332,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
169333,2.000,1.000,1.250,0.000,0.625,0.500,0.125,0.125,0.000,0.125,0.375,8
169334,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
169335,2.111,1.111,1.222,0.000,0.667,0.444,0.111,0.111,0.111,0.111,0.333,9
169336,2.111,1.111,1.222,0.000,0.667,0.444,0.111,0.111,0.111,0.111,0.333,9
169337,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
169338,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
169339,1.857,1.143,1.000,0.000,0.571,0.429,0.000,0.000,0.143,0.143,0.000,7
169353,1.167,0.333,1.000,0.167,0.167,0.167,0.000,0.000,0.000,0.167,0.000,6
169354,1.200,0.400,1.000,0.000,0.200,0.200,0.000,0.000,0.000,0.200,0.000,5
169355,2.000,0.889,1.222,0.000,0.556,0.111,0.111,0.111,0.333,0.111,0.333,9
169356,1.857,1.143,1.000,0.143,0.571,0.286,0.000,0.000,0.286,0.000,0.000,7
169357,1.400,0.800,1.000,0.200,0.400,0.400,0.000,0.000,0.000,0.200,0.000,5
169358,1.250,0.500,1.000,0.250,0.250,0.250,0.000,0.000,0.000,0.250,0.000,4
169359,1.200,0.400,1.000,0.200,0.200,0.200,0.000,0.000,0.000,0.200,0.000,5
169360,1.429,0.571,1.000,0.143,0.286,0.143,0.000,0.000,0.143,0.143,0.000,7
169361,1.700,0.600,1.200,0.100,0.400,0.100,0.100,0.100,0.200,0.100,0.300,10
169362,1.556,0.667,1.000,0.111,0.333,0.111,0.000,0.000,0.222,0.111,0.000,9
169363,1.556,0.667,1.000,0.111,0.333,0.111,0.000,0.000,0.222,0.111,0.000,9
169364,1.556,0.667,1.000,0.111,0.333,0.111,0.000,0.000,0.222,0.111,0.000,9
169365,1.500,0.600,1.000,0.100,0.300,0.100,0.000,0.000,0.200,0.100,0.000,10
169366,1.500,0.600,1.000,0.100,0.300,0.100,0.000,0.000,0.200,0.100,0.000,10
169367,1.500,0.600,1.000,0.100,0.300,0.100,0.000,0.000,0.200,0.100,0.000,10
169368,1.273,0.545,1.000,0.182,0.273,0.091,0.000,0.000,0.091,0.091,0.000,11
169369,1.214,0.714,1.000,0.286,0.357,0.071,0.000,0.000,0.071,0.071,0.000,14
169370,1.231,0.769,1.000,0.308,0.385,0.077,0.000,0.000,0.077,0.077,0.000,13
169371,1.250,0.833,1.000,0.333,0.417,0.083,0.000,0.000,0.083,0.083,0.000,12
169372,1.231,0.769,1.000,0.308,0.385,0.077,0.000,0.000,0.077,0.077,0.000,13
169373,1.231,0.769,1.000,0.308,0.385,0.077,0.000,0.000,0.077,0.077,0.000,13
169374,1.231,0.615,1.000,0.231,0.308,0.077,0.000,0.000,0.077,0.077,0.000,13
169375,1.250,0.667,1.000,0.250,0.333,0.083,0.000,0.000,0.083,0.083,0.000,12
169376,1.273,0.727,1.000,0.273,0.364,0.091,0.000,0.000,0.091,0.091,0.000,11
169377,1.273,0.727,1.000,0.273,0.364,0.091,0.000,0.000,0.091,0.091,0.000,11
169378,1.083,0.667,1.000,0.333,0.333,0.083,0.000,0.000,0.000,0.083,0.000,12
169379,1.000,0.364,1.000,0.273,0.182,0.000,0.000,0.000,0.000,0.091,0.000,11
169380,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,4
169381,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,4
169389,1.250,1.000,1.000,0.250,0.500,0.250,0.000,0.000,0.000,0.250,0.000,4
170064,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
170065,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
170066,1.889,1.111,1.000,0.000,0.556,0.444,0.000,0.000,0.111,0.111,0.000,9
170067,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
170068,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170069,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170070,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170071,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170072,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170073,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170074,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170075,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170076,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170077,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170078,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170079,2.000,1.200,1.000,0.000,0.600,0.400,0.000,0.000,0.200,0.100,0.000,10
170080,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170081,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
170082,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
170083,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
